youtuber,video_id,cosine_similarity,js_divergence,l1_distance
thetrenchfamily,CO3dL6oDvhw,1.0,0.0,0.0
markrober,H8G9G_lPmTM,1.0,0.0,0.0
markrober,llSOvSdU2a8,1.0,0.0,0.0
markrober,qNgL7ebGSI0,1.0,0.0,0.0
markrober,PreiWhOgUJ0,1.0,0.0,0.0
markrober,egbIh5aic-k,1.0,0.0,0.0
markrober,M7-h3FO-KKo,1.0,0.0,0.0
markrober,iBh3zOjOCvI,1.0,0.0,0.0
markrober,kIPiqwwJYYc,1.0,0.0,0.0
markrober,ga3EJ6CN7ZE,1.0,0.0,0.0
markrober,SrGENEXocJU,1.0,0.0,0.0
markrober,Vv8RN_mKyi4,1.0,0.0,0.0
markrober,l9tOJy-IAvM,1.0,0.0,0.0
markrober,TkUxM_HQgG0,1.0,0.0,0.0
markrober,25N0R1KnXVs,1.0,0.0,0.0
